image,input names,sigma,psnr
0,noisy,0.01,25.403049694618225
0,noisy,0.02,24.9774881692997
0,noisy,0.05,22.784847786207102
0,deconv,0.01,28.46519168447948
0,deconv,0.02,23.0039531424484
0,deconv,0.05,15.6395015150037
0,neural,0.01,28.84756397376776
0,neural,0.02,25.688660729361068
0,neural,0.05,19.01666328874504
0,deconv_neural,0.01,31.30077643781663
0,deconv_neural,0.02,28.253693128935602
0,deconv_neural,0.05,21.12239783061834
0,Gaussian_filt,0.01,24.832092797310132
0,Gaussian_filt,0.02,24.797657669491606
0,Gaussian_filt,0.05,24.581520660036475
0,Median_filt,0.01,25.17665427837233
0,Median_filt,0.02,25.057541758442355
0,Median_filt,0.05,24.511384356590064
0,bilateral,0.01,24.992236512165622
0,bilateral,0.02,24.93525669984715
0,bilateral,0.05,24.555984149099935
1,noisy,0.01,32.12907241621576
1,noisy,0.02,30.396011410621956
1,noisy,0.05,25.2283268467135
1,deconv,0.01,28.930008838029448
1,deconv,0.02,23.142394009233875
1,deconv,0.05,15.333975156009512
1,neural,0.01,37.39217041643481
1,neural,0.02,28.06272032144472
1,neural,0.05,19.114115068316504
1,deconv_neural,0.01,37.79844965062605
1,deconv_neural,0.02,30.31802350621436
1,deconv_neural,0.05,21.138787180153034
1,Gaussian_filt,0.01,32.55881965872504
1,Gaussian_filt,0.02,32.358031873544434
1,Gaussian_filt,0.05,31.250339737161333
1,Median_filt,0.01,32.740707632802994
1,Median_filt,0.02,32.32286777626616
1,Median_filt,0.05,30.257832288009393
1,bilateral,0.01,31.91846021589955
1,bilateral,0.02,31.64079589454174
1,bilateral,0.05,30.036209882368546
2,noisy,0.01,27.11882212048204
2,noisy,0.02,26.5019208367646
2,noisy,0.05,23.626184557350527
2,deconv,0.01,28.692036925452378
2,deconv,0.02,23.01684756818515
2,deconv,0.05,15.378975624416542
2,neural,0.01,32.796924423830134
2,neural,0.02,27.07474950199435
2,neural,0.05,19.052898915989754
2,deconv_neural,0.01,34.122765460362174
2,deconv_neural,0.02,29.358408446029912
2,deconv_neural,0.05,21.073984208835274
2,Gaussian_filt,0.01,26.907694497544465
2,Gaussian_filt,0.02,26.86442728872853
2,Gaussian_filt,0.05,26.50925683847297
2,Median_filt,0.01,27.090096762780945
2,Median_filt,0.02,26.95370401800544
2,Median_filt,0.05,26.216010146137045
2,bilateral,0.01,26.833969505008056
2,bilateral,0.02,26.761381404571296
2,bilateral,0.05,26.171660449561834
