image,input names,sigma,psnr
0,noisy,0.01,23.96374526119661
0,deconv,0.01,23.878659960556515
0,neural,0.01,27.286777011799167
0,deconv_neural,0.01,30.495755045642223
1,noisy,0.01,14.192954075380285
1,deconv,0.01,22.526078636003362
1,neural,0.01,18.75567914365462
1,deconv_neural,0.01,21.94306797928619
2,noisy,0.01,18.85734601460582
2,deconv,0.01,23.7748900545523
2,neural,0.01,24.273053998418828
2,deconv_neural,0.01,27.445853683958738
3,noisy,0.01,14.051557366173055
3,deconv,0.01,22.331032064674066
3,neural,0.01,19.58962182415842
3,deconv_neural,0.01,22.5732473763469
4,noisy,0.01,12.209002753397012
4,deconv,0.01,21.170746286605496
4,neural,0.01,16.567655504389606
4,deconv_neural,0.01,19.584044668624575
